datetimes,Grupo de edad,dead,icu_total,icu_original,icu_gamma
2021-03-27,50-59,12.857142857142858,30.08120328532873,17.092457353860507,12.98874593146822
2021-03-28,50-59,12.142857142857142,31.02124027582317,17.16244873880307,13.858791537020126
2021-03-29,50-59,12.285714285714286,31.962138727607563,17.224921320732367,14.73721740687522
2021-03-30,50-59,12.285714285714286,32.8971961870018,17.27839639202083,15.618799794980983
2021-03-31,50-59,12.571428571428571,33.81939627349441,17.321289860823093,16.498106412671355
2021-04-01,50-59,14.571428571428571,34.723257251787935,17.35244529982389,17.37081195196409
2021-04-02,50-59,13.714285714285714,35.606552049955575,17.371572681348653,18.23497936860693
2021-04-03,50-59,14.0,36.47021715917558,17.379226717846027,19.09099044132958
2021-04-04,50-59,15.714285714285714,37.31711161090893,17.376493197501084,19.940618413407826
2021-04-05,50-59,17.428571428571427,38.150247144877426,17.364534219491155,20.78571292538631
2021-04-06,50-59,18.285714285714285,38.971271311477324,17.344166120054275,21.627105191423016
2021-04-07,50-59,18.142857142857142,39.77968328585602,17.3156435216113,22.464039764244664
2021-04-08,50-59,16.857142857142858,40.57305086848789,17.278723304170185,23.294327564317754
2021-04-09,50-59,17.285714285714285,41.348170188419154,17.232921404889524,24.115248783529594
2021-04-10,50-59,16.714285714285715,42.10198042944688,17.177746364140262,24.924234065306575
2021-04-11,50-59,16.428571428571427,42.83193179823625,17.112871689053943,25.719060109182344
2021-04-12,50-59,15.0,43.53586833183926,17.03807128272011,26.497797049119157
2021-04-13,50-59,14.285714285714286,44.21163767740778,16.95311587598321,27.258521801424596
2021-04-14,50-59,15.0,44.85667184178625,16.85768641595319,27.998985425833116
2021-04-15,50-59,15.857142857142858,45.46754261763673,16.751316552679995,28.716226064956782
2021-04-16,50-59,15.571428571428571,46.040087457827795,16.633420992739087,29.406666465088723
2021-04-17,50-59,16.571428571428573,46.56973211074495,16.50339085423403,30.066341256510917
2021-04-18,50-59,16.428571428571427,47.05185225367497,16.36071281214688,30.691139441528005
2021-04-19,50-59,16.857142857142858,47.48220419548651,16.20510862222306,31.27709557326346
2021-04-20,50-59,17.571428571428573,47.857127737338175,16.036574865272353,31.820552872065825
2021-04-21,50-59,17.571428571428573,48.17372452281575,15.855411274393466,32.318313248422285
2021-04-22,50-59,16.714285714285715,48.42987991031194,15.662200659010054,32.76767925130191
2021-04-23,50-59,16.714285714285715,48.624528442852466,15.457812133965735,33.166716308886734
2021-04-24,50-59,15.857142857142858,48.757649908840214,15.24334583566213,33.51430407317809
2021-04-25,50-59,14.285714285714286,48.82998035938496,15.020018114443749,33.80996224494125
2021-04-26,50-59,14.428571428571429,48.842720846504456,14.789084601424697,34.05363624507976
2021-04-27,50-59,14.571428571428571,48.79697730140117,14.551675868400341,34.24530143300082
2021-04-28,50-59,14.571428571428571,48.693677674598995,14.30876843350808,34.38490924109089
2021-04-29,50-59,14.714285714285714,48.53371895427118,14.061203753787666,34.47251520048348
2021-04-30,50-59,14.857142857142858,48.31841059919085,13.809775377561749,34.50863522162917
2021-05-01,50-59,14.571428571428571,48.049581798444066,13.555247394998583,34.4943344034455
2021-05-02,50-59,14.857142857142858,47.72977895151465,13.298416092741107,34.43136285877356
2021-05-03,50-59,16.142857142857142,47.36224419308318,13.040113468588268,34.32213072449489
2021-05-04,50-59,15.142857142857142,46.95064031063842,12.7811564288014,34.16948388183698
2021-05-05,50-59,13.857142857142858,46.49903926387075,12.522369339309096,33.97666992456162
2021-05-06,50-59,14.142857142857142,46.01180197982018,12.264570121025711,33.74723185879445
2021-05-07,50-59,13.857142857142858,45.49382326832992,12.008641738003696,33.48518153032619
2021-05-08,50-59,14.428571428571429,44.95033737899338,11.75549972897444,33.19483765001901
2021-05-09,50-59,15.285714285714286,44.386449307581124,11.506001821347008,32.880447486234154
2021-05-10,50-59,14.142857142857142,43.80705700443859,11.260936312737051,32.54612069170158
2021-05-11,50-59,14.142857142857142,43.21667006866358,11.020983903619832,32.19568616504376
2021-05-12,50-59,15.857142857142858,42.61933365043162,10.78672405564393,31.83260959478776
2021-05-13,50-59,13.857142857142858,42.01879643995759,10.55866822875204,31.460128211205504
2021-05-14,50-59,13.142857142857142,41.418713330278685,10.337309515183403,31.081403815095236
2021-05-15,50-59,12.857142857142858,40.822590085006944,10.123111812506343,30.699478272500677
2021-01-01,60-69,11.979591836734695,8.728987401186238,8.728987401186238,0.0
2021-01-02,60-69,12.26530612244898,8.846775181875689,8.846775181875689,0.0
2021-01-03,60-69,12.122448979591837,8.96559918184059,8.96559918184059,0.0
2021-01-04,60-69,11.83673469387755,9.08317014720717,9.08317014720717,0.0
2021-01-05,60-69,11.26530612244898,9.199222264542616,9.199222264542616,0.0
2021-01-06,60-69,10.979591836734695,9.31563555144614,9.31563555144614,0.0
2021-01-07,60-69,10.26530612244898,9.435589526634814,9.435589526634814,0.0
2021-01-08,60-69,9.285714285714286,9.562766935735466,9.562766935735466,0.0
2021-01-09,60-69,8.857142857142858,9.700910809116463,9.700910809116463,0.0
2021-01-10,60-69,11.428571428571429,9.853389943993658,9.853389943993658,0.0
2021-01-11,60-69,12.0,10.022733823523104,10.022733823523104,0.0
2021-01-12,60-69,12.285714285714286,10.210012748130579,10.210012748130579,0.0
2021-01-13,60-69,12.571428571428571,10.415547208560652,10.415547208560652,0.0
2021-01-14,60-69,13.285714285714286,10.638645085200528,10.638645085200528,0.0
2021-01-15,60-69,13.285714285714286,10.878055343249578,10.878055343249578,0.0
2021-01-16,60-69,13.428571428571429,11.13178353853152,11.13178353853152,0.0
2021-01-17,60-69,14.428571428571429,11.397912045132502,11.397912045132502,0.0
2021-01-18,60-69,13.714285714285714,11.674232423898012,11.674232423898012,0.0
2021-01-19,60-69,13.714285714285714,11.958321166443008,11.958321166443008,0.0
